# Time-averaged data for fix polar_output
# TimeStep c_dipole_moment[1] c_dipole_moment[2] c_dipole_moment[3]
23100 -6.67125 43.2071 16.1646
23150 -6.51307 43.4877 15.7818
23200 -6.15879 43.1386 15.7961
23250 -6.32987 43.3183 16.4292
23300 -6.22051 43.066 16.3043
23350 -6.23253 43.1643 16.2591
23400 -5.72822 42.9048 15.9175
23450 -5.97743 42.7626 16.3439
23500 -5.93547 43.0205 16.2844
23550 -6.03165 42.9859 16.4809
23600 -6.20801 43.378 16.0977
23650 -6.565 42.9231 16.4774
23700 -6.92277 42.9429 16.4969
23750 -6.24422 43.033 16.2066
23800 -6.39532 42.9919 16.584
23850 -5.81948 43.1023 16.1455
23900 -5.94496 43.1358 16.7009
23950 -5.65722 42.8632 16.1715
24000 -5.71018 42.7708 16.1267
24050 -6.22174 42.8868 17.3589
24100 -6.71542 42.8063 17.5885
24150 -6.70899 42.7825 17.5271
24200 -6.65393 42.4966 17.8232
24250 -6.82843 43.197 17.6293
24300 -6.402 42.5982 17.853
24350 -6.57542 43.0143 17.6653
24400 -6.40089 42.8451 17.7972
24450 -6.80237 43.1671 17.8546
24500 -6.65985 42.7401 17.9504
24550 -6.95337 43.0299 17.9359
24600 -6.70434 43.03 17.5878
24650 -6.46516 42.5613 17.542
24700 -6.77953 42.7578 17.657
24750 -6.48296 42.5846 17.6945
24800 -6.75379 43.064 17.4798
24850 -6.35232 42.6754 17.8459
24900 -6.60572 43.2158 17.5293
24950 -6.36961 42.4462 17.6332
25000 -6.51423 42.8751 17.6757
